brand,num_items,head_top20_items,tail_bottom80_items,mean_interactions,total_interactions
UNKNOWN,127432,13228,114204,4.115332098687928,524425
L&#39;Oreal Paris,1655,588,1067,15.87250755287009,26269
Conair,426,234,192,52.248826291079816,22258
OPI,1915,584,1331,10.237075718015666,19604
Olay,383,208,175,47.83289817232376,18320
Revlon,1260,413,847,14.006349206349206,17648
Neutrogena,514,285,229,32.78599221789883,16852
Maybelline,961,323,638,16.046826222684704,15421
NYX,590,158,432,18.035593220338985,10641
SHANY Cosmetics,84,66,18,125.13095238095238,10511
Remington,57,40,17,152.2280701754386,8677
HSI PROFESSIONAL,4,4,0,2162.75,8651
BaBylissPRO,135,77,58,58.98518518518519,7963
Bare Escentuals,733,211,522,10.810368349249659,7924
COVERGIRL,656,174,482,11.911585365853659,7814
WEN&reg; by Chaz Dean,83,65,18,92.56626506024097,7683
Dove,300,149,151,24.39666666666667,7319
Essie,846,182,664,8.509456264775414,7199
Paul Mitchell,549,211,338,12.506375227686704,6866
e.l.f. Cosmetics,417,145,272,16.302158273381295,6798
Garnier,270,154,116,24.877777777777776,6717
Burt&#39;s Bees,276,132,144,23.815217391304348,6573
Moroccanoil,177,100,77,36.72316384180791,6500
Suave,238,131,107,25.584033613445378,6089
Bath &amp; Body Works,1314,266,1048,4.624048706240487,6076
Calvin Klein,344,123,221,15.837209302325581,5448
Now Foods,132,79,53,41.18181818181818,5436
Aveeno,173,96,77,31.352601156069365,5424
Clinique,786,194,592,6.796437659033079,5342
Nioxin,266,110,156,19.992481203007518,5318
John Frieda,192,105,87,27.619791666666668,5303
Philosophy,368,133,235,14.14945652173913,5207
Sally Hansen,733,181,552,7.038199181446112,5159
CND Cosmetics,424,164,260,11.922169811320755,5055
Bonamart,39,28,11,126.7948717948718,4945
China Glaze,628,147,481,7.828025477707007,4916
Redken,451,195,256,10.796008869179602,4869
Sigma Beauty,141,69,72,32.60992907801418,4598
Victoria&#39;s Secret,827,170,657,5.525997581620314,4570
Designer Skin,117,77,40,37.82905982905983,4426
Proactiv,87,66,21,50.41379310344828,4386
Jerdon,62,45,17,69.80645161290323,4328
Hot Tools,195,76,119,21.96923076923077,4284
Mary Kay,427,136,291,9.90632318501171,4230
Coastal Scents,71,43,28,56.15492957746479,3987
Avon,638,122,516,6.214733542319749,3965
Dermalogica,302,109,193,13.07615894039735,3949
Australian Gold,146,80,66,26.876712328767123,3924
Clairol,307,72,235,12.732899022801304,3909
TIGI,291,116,175,13.29553264604811,3869
Diane,262,86,176,14.606870229007633,3827
Unknown,402,82,320,9.373134328358208,3768
Murad,210,114,96,17.676190476190477,3712
Estee Lauder,697,151,546,5.315638450502152,3705
M.A.C,853,103,750,4.341148886283705,3703
Gelish,184,102,82,19.831521739130434,3649
